me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106122,106122,106122,106122,106122,106122,106122,106122,106122,106122,106122,106122,357638,357638,357638,357638,357638,357638,357638,357638,357638,357638,357638,357638,567811,567811,567811,567811,567811,567811,567811,567811,567811,567811,567811,567811,1185007,1185007,1185007,1185007,1185007,1185007,1185007,1185007,1185007,1185007,1185007,1185007,3350801,3350801,3350801,3350801,3350801,3350801,3350801,3350801,3350801,3350801,3350801,3350801,3298848,3298848,3298848,3298848,3298848,3298848,3298848,3298848,3298848,3298848,3298848,3298848,3210242,3210242,3210242,3210242,3210242,3210242,3210242,3210242,3210242,3210242,3210242,3210242,3788400,3788400,3788400,3788400,3788400,3788400,3788400,3788400,3788400,3788400,3788400,3788400,4193618,4193618,4193618,4193618,4193618,4193618,4193618,4193618,4193618,4193618,4193618,4193618,4091094,4091094,4091094,4091094,4091094,4091094,4091094,4091094,4091094,4091094
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329272829,-0.12750044,-0.423876679,-0.220399125,-0.588728421,0.100179525,-0.36035681,-0.352265948,-0.141600287,-0.419956182,-0.109187014,-0.139079895,-0.177124938,-0.518807091,-0.335513331,-0.139403894,-0.311190123,-0.231858387,-0.35830864,0.076028528,0.044779796,-0.137861241,-0.151616657,-0.13413208,-0.103695658,-0.21956771,-0.1554597,-0.103579155,-0.117492694,-0.176121271,0.014554864,-0.089380527,-0.178845899,-0.114222666,-0.276200928,-0.084944007,-0.027386258,-0.071665794,-0.049774017,-0.106321417,-0.133625405,-0.227485906,-0.126584908,0.044206113,-0.034313494,-0.106355253,-0.161464526,-0.187531896,-0.080394691,-0.086777449,-0.164874947,-0.104508996,-0.111784688,-0.066140521,0.014694672,-0.173926868,-0.106064704,-0.097024127,-0.118624395,-0.087470064,-0.052122908,-0.118996189,-0.211275563,-0.011991202,0.061731126,-0.264579528,-0.084022094,-0.154294187,-0.027644485,-0.155328602,-0.130382179,-0.156723022,-0.1249136,0.048678514,-0.153347062,0.04005102
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-125.1013,4.0881,2.6715,3.4304,2.6042,2.6311,2.4489,2.4546,2.5279,1.9359,1.936,1.4564,1.6351,1.5747,1.5721,1.5899,1.5187,1.1749,1.2217,1.272,1.2712,1.1877,1.1845,1.0546,1.014,0.9941,1.0319,0.9299,0.7105,0.7539,0.7811,0.7088,0.7097,0.7104,0.8179,0.8451,0.5599,0.5368,0.521,0.3495,0.5843,0.5898,0.6087,0.326,0.346,0.3935,0.4177,0.3983,0.4712,0.4658,0.4661,0.4542,0.3061,0.2542,0.2376,0.2019,0.1732,0.4075,0.4047,0.2544,0.2172,0.1643,0.2069,0.3042,0.5054,0.5038,0.5216,0.6621,0.6598,0.6018,0.5948,0.6696,0.7772,0.7783,0.8669,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.68,328.34,258.98,165.12,73.52,253.7,287.09,65.45,41.14,155.83,174.58,86.51,69.48,67.98,288.8,79.06,64.31,56.37,135.78,77.39,19.74,74.92,70.69,122.15,417.75,72.11,122.39,210.33,70.18,66.17,115.69,71.71,89.87,149.78,201.84,339.17,110.56,111.49,65.02,173.51,40.81,233.48,130.11,78.66,98.89,56.9,253.63,2383,193.17,82.33,271.08,121.53,78.72,62.16,120.79,187.38,74.45,158.74,258.58,152.01,244.4,157.32,59.05,150.48,38.9,140.17,561.44,125.56,388.79,181.24,303.95,141.05,95.86,114.42,70.49,136.27,239.74
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158027,158027,158027,158027,158027,158027,158027,158027,158027,158027,158027,158027,517091,517091,517091,517091,517091,517091,517091,517091,517091,517091,517091,517091,783494,783494,783494,783494,783494,783494,783494,783494,783494,783494,783494,783494,1800780,1800780,1800780,1800780,1800780,1800780,1800780,1800780,1800780,1800780,1800780,1800780,4964059,4964059,4964059,4964059,4964059,4964059,4964059,4964059,4964059,4964059,4964059,4964059,4982480,4982480,4982480,4982480,4982480,4982480,4982480,4982480,4982480,4982480,4982480,4982480,5063813,5063813,5063813,5063813,5063813,5063813,5063813,5063813,5063813,5063813,5063813,5063813,5902096,5902096,5902096,5902096,5902096,5902096,5902096,5902096,5902096,5902096,5902096,5902096,6189926,6189926,6189926,6189926,6189926,6189926,6189926,6189926,6189926,6189926,6189926,6189926,6286215,6286215,6286215,6286215,6286215,6286215,6286215,6286215,6286215,6286215
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360838,360838,360838,360838,360838,360838,360838,360838,360838,360838,360838,360838,1066074,1066074,1066074,1066074,1066074,1066074,1066074,1066074,1066074,1066074,1066074,1066074,1688652,1688652,1688652,1688652,1688652,1688652,1688652,1688652,1688652,1688652,1688652,1688652,2544923,2544923,2544923,2544923,2544923,2544923,2544923,2544923,2544923,2544923,2544923,2544923,6212899,6212899,6212899,6212899,6212899,6212899,6212899,6212899,6212899,6212899,6212899,6212899,7365023,7365023,7365023,7365023,7365023,7365023,7365023,7365023,7365023,7365023,7365023,7365023,6896418,6896418,6896418,6896418,6896418,6896418,6896418,6896418,6896418,6896418,6896418,6896418,7990718,7990718,7990718,7990718,7990718,7990718,7990718,7990718,7990718,7990718,7990718,7990718,9329660,9329660,9329660,9329660,9329660,9329660,9329660,9329660,9329660,9329660,9329660,9329660,9423623,9423623,9423623,9423623,9423623,9423623,9423623,9423623,9423623,9423623
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45740,45740,45740,45740,45740,45740,45740,45740,45740,45740,45740,45740,157442,157442,157442,157442,157442,157442,157442,157442,157442,157442,157442,157442,213473,213473,213473,213473,213473,213473,213473,213473,213473,213473,213473,213473,590682,590682,590682,590682,590682,590682,590682,590682,590682,590682,590682,590682,1574049,1574049,1574049,1574049,1574049,1574049,1574049,1574049,1574049,1574049,1574049,1574049,1681457,1681457,1681457,1681457,1681457,1681457,1681457,1681457,1681457,1681457,1681457,1681457,1853571,1853571,1853571,1853571,1853571,1853571,1853571,1853571,1853571,1853571,1853571,1853571,2113696,2113696,2113696,2113696,2113696,2113696,2113696,2113696,2113696,2113696,2113696,2113696,1996308,1996308,1996308,1996308,1996308,1996308,1996308,1996308,1996308,1996308,1996308,1996308,2194573,2194573,2194573,2194573,2194573,2194573,2194573,2194573,2194573,2194573
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24%,0.21%,0.17%,0.11%,0.05%,0.16%,0.19%,0.04%,0.03%,0.1%,0.11%,0.05%,0.04%,0.04%,0.15%,0.04%,0.03%,0.03%,0.07%,0.04%,0.01%,0.04%,0.04%,0.06%,0.22%,0.04%,0.07%,0.11%,0.04%,0.04%,0.06%,0.04%,0.05%,0.08%,0.11%,0.18%,0.06%,0.06%,0.03%,0.09%,0.02%,0.12%,0.07%,0.04%,0.05%,0.03%,0.13%,1.27%,0.1%,0.04%,0.14%,0.06%,0.04%,0.03%,0.06%,0.1%,0.04%,0.08%,0.14%,0.08%,0.13%,0.08%,0.03%,0.08%,0.02%,0.07%,0.3%,0.07%,0.21%,0.1%,0.16%,0.07%,0.05%,0.06%,0.04%,0.07%,0.13%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.329272829,0.21559986,-0.169822179,0.081866075,-0.334913821,0.358188825,-0.11157611,-0.096926148,0.124657413,-0.206194482,0.103980986,0.041173305,0.016886362,-0.336100991,-0.163221031,0.040109806,-0.129912023,-0.071789687,-0.19644154,0.244464528,0.214415396,0.025713859,0.010056843,0.02005772,0.049936342,-0.06628941,0,0.045454545,0.014768806,-0.043525571,0.148464164,0.042223873,-0.046334799,0.012582534,-0.145423228,0.047797293,0.086287442,0.044902606,0.064398983,0.002047083,-0.010214505,-0.103428506,-0.003836808,0.147644113,0.071484506,0.000835247,-0.056749426,-0.079738996,0.027640909,0.021517951,-0.056210647,0.001455604,-0.014050388,0.028624079,0.106413472,-0.083657168,-0.022853104,-0.004701627,-0.025678295,-0.005842864,0.028510692,-0.041945289,-0.134390863,0.072423398,0.157621326,-0.167690128,0.008938706,-0.040781887,0.089722915,-0.039015202,-0.011059779,-0.038788222,0,0.177761414,-0.019632362,0.04005102
