me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,1838,1838,1838,1838,1838,1838,1838,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,3420,3420,3420,3420,3420,3420,3420,3420,3420,3420,3420,3420,3163,3163,3163,3163,3163,3163,3163,3163,3163,3163,3163,3163,3154,3154,3154,3154,3154,3154,3154,3154,3154,3154,3154,3154,5036,5036,5036,5036,5036,5036,5036,5036,5036,5036,5036,5036,5666,5666,5666,5666,5666,5666,5666,5666,5666,5666,5666,5666,18204,18204,18204,18204,18204,18204,18204,18204,18204,18204,18204,18204,1158585,1158585,1158585,1158585,1158585,1158585,1158585,1158585,1158585,1158585,1158585,1158585,1933943,1933943,1933943,1933943,1933943,1933943,1933943,1933943,1933943,1933943,1933943,1933943,1495426,1495426,1495426,1495426,1495426,1495426,1495426,1495426,1495426,1495426,1495426,1495426,,,,,,
Excess return,Basic Materials,,-0.1427331,-0.1362292,-0.1403952,-0.137384,-0.1297566,-0.1208921,-0.1186063,-0.1150837,-0.001537979,-0.212424767,-0.1094103,-0.011167279,-0.327014535,-0.254757086,-0.1360745,-0.1216619,-0.1202446,-0.1161731,0.034675624,-0.1123157,-0.1114535,-0.1106841,-0.1011775,-0.1015453,-0.0971863,-0.0926914,-0.0941687,-0.231149586,0.036793724,-0.351670324,-0.269173676,-0.108522,-0.031677816,0.004194955,-0.016322828,-0.053776641,-0.151294625,-0.23864773,-0.1208164,0.042246876,-0.08328915,-0.1429103,-0.1432946,-0.113449081,-0.203509626,1.164449137,-0.1037021,-0.0950884,-0.079318,-0.573322736,-0.205986486,-0.0539294,0.088720024,-0.180780186,-0.0541213,-0.0581381,-0.0464626,0.100050124,-0.038225,-0.141566251,0.467967179,-0.153275255,-0.207722371,0.188570672,-0.113143034,2.251676854,-0.462225886,-0.036476335,-0.35031253,-0.395131041,0.346693464,-0.118069011,-0.064783699,-0.363787099,0.088223421,-0.337409265,0.503832258,-0.541893929,-0.275804385,-0.321158651,-0.285559771,-0.243807087,-0.406835427,0.073073814,-0.649530393,-0.025174981,-0.255094303,-0.475889828,-0.528229011,-0.006471319,6.000604991,0.1690692,0.081830496,-0.342853275,0.673469219,-0.18874676,0.113759177,-0.684777938,0.489377,0.883309631,-0.127756529,-0.0111403,-0.0097679,0.085875104,-0.00434643,-0.0110873,0.232509964,-0.178135707,0.214798885,0.878441615,0.238368953,-0.044247699,-0.246997816,-0.007343528,-0.162828962,-0.230182381,-0.1657369,-0.17032,-0.118655512,-0.152334679,-0.0905564,-0.122640949,-0.245974124,-0.129596224,-0.1226568,-0.437872792,-0.064688356,-0.06680746,0.129391302,-0.181949978,0.137544423,-0.044479535,0.040224942,-0.119916659,-0.269471336,-0.227270071,-0.169380417,0.063137904,-0.108337905,-0.302622364,-0.007631956,-0.060488058,-0.162149603,0.032818319,-0.081928608,-0.238331999,-0.06224241,-0.518332428,-0.146879688,-0.451873327,-0.3378948,-0.13832808,-0.000445534,-0.148550096,-0.307892679,-0.073197929
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,0.3038,0.3037,0.3084,0.2904,0.268,0.1882,0.1967,0.2001,0.1299,0.0877,0.1134,0.1081,0.1088,0.0818,0.082,0.0615,0.0613,0.0642,-0.0163,-0.0365,-0.0061,-0.0055,-0.0193,-0.0575,-0.0469,-0.0399,-0.0922,-0.0751,0.1295,0.1648,0.1192,0.118,0.194,0.28,0.2574,0.3826,0.3727,0.4238,0.4229,0.3828,0.3856,0.6092,0.6081,0.6142,0.5698,0.3159,0.2661,0.2667,0.2268,-0.014,-0.0563,-0.0842,-0.4662,-0.4753,-0.3843,-0.3949,-0.3613,-0.5498,-0.598,-0.625,-0.1268,-0.0269,-0.1147,-0.0254,0.0632,0.0068,0.4172,0.3982,0.5256,1.2318,1.2172,1.1863,1.1625,1.4774,1.4023,1.5659,1.3468,1.6957,1.9503,2.035,2.4866,2.6852,2.8062,2.2104,2.7645,2.2717,2.5629,2.3644,2.2203,1.8029,-6.646,-6.7448,-4.0884,-2.6643,-2.7538,-2.8396,-2.7516,-1.7911,-1.3124,-1.179,-1.3138,-1.2606,-1.2319,-1.2267,-1.169,-1.1951,-1.2629,-1.317,-1.5526,-1.8121,-1.8023,-1.6959,-1.5597,-1.5192,1.5712,1.8249,1.7017,1.3863,1.39,1.3136,0.4952,0.0628,0.1384,0.2131,0.3961,0.6136,0.7042,0.6784,0.4746,0.2946,0.3122,0.3714,0.6417,0.4393,0.5182,0.4704,0.26,0.4141,0.265,0.2083,0.1498,0.1919,0.1662,0.2593,0.2854,0.4111,0.3554,0.7757,0.7101,0.8915,0.878,0.8896,1.4339,1.8038,1.8095,1.9064,
VO monthly avg,Basic Materials,0,0.65,1.89,0.51,1.54,0.31,0.77,0.17,1.91,0.38,0.4,0.39,0.17,0.28,0.43,2.29,0.68,0.25,0.73,0.61,0,0.47,0.84,0.41,0.06,0.34,0.06,0.07,0.06,0.12,0.13,0.38,0.3,0.88,0.35,0.08,0.04,0.55,0.09,0,1.93,0.21,0,0.07,6.39,0.49,0.3,0,0.04,0,0.36,0.05,6.85,5.32,0,0.1,0.07,15.97,2.35,0.03,1.7,28.77,39.27,4.63,3.01,1.69,38.69,13.96,12.13,7.87,2.65,8.45,6.4,3.64,5.82,7.08,7.67,10.71,10.51,1.26,1.93,7.98,2.65,4.12,1.53,5.04,1.93,2.63,2.4,2.2,1.91,28.94,3.77,2.4,3.02,4.76,2,3.47,5.21,1.37,0.42,1.29,2.5,1.36,0.86,1.25,2.5,5.04,0.59,1.84,9.29,1.7,0.6,0.79,5.33,7.16,1.6,3.05,5.01,6.45,1975.47,6.22,7.7,105.08,16.41,6.02,786.8,626.4,793.2,1213.05,895.91,2305.36,1094.7,1682.09,2009.67,1902.74,3224.17,1572.08,1744.04,1656.62,1258.55,1545.11,1069.51,1933.4,959.29,1737.93,994.03,1690.22,3122.12,1478.39,1476.26,744.61,1839.18,1237.73,875.54,837.13,311.78
Total assets,Basic Materials,6651,6651,6651,6651,6651,6651,6651,6491,6491,6491,6491,6491,6491,6491,6491,6491,6491,6491,6491,6215,6215,6215,6215,6215,6215,6215,6215,6215,6215,6215,6215,5791,5791,5791,5791,5791,5791,5791,5791,5791,5791,5791,5791,5496,5496,5496,5496,5496,5496,5496,5496,5496,5496,5496,5496,5244,5244,5244,5244,5244,5244,5244,5244,5244,5244,5244,5244,4966,4966,4966,4966,4966,4966,4966,4966,4966,4966,4966,4966,5364,5364,5364,5364,5364,5364,5364,5364,5364,5364,5364,5364,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,74968,74968,74968,74968,74968,74968,74968,74968,74968,74968,74968,74968,2976685,2976685,2976685,2976685,2976685,2976685,2976685,2976685,2976685,2976685,2976685,2976685,3738423,3738423,3738423,3738423,3738423,3738423,3738423,3738423,3738423,3738423,3738423,3738423,2326379,2326379,2326379,2326379,2326379,2326379,2326379,2326379,2326379,2326379,2326379,2326379,,,,,,
Net sales,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404206,1404206,1404206,1404206,1404206,1404206,1404206,1404206,1404206,1404206,1404206,1404206,2502099,2502099,2502099,2502099,2502099,2502099,2502099,2502099,2502099,2502099,2502099,2502099,2550187,2550187,2550187,2550187,2550187,2550187,2550187,2550187,2550187,2550187,2550187,2550187,,,,,,
common equity,Basic Materials,4813,4813,4813,4813,4813,4813,4813,4862,4862,4862,4862,4862,4862,4862,4862,4862,4862,4862,4862,4811,4811,4811,4811,4811,4811,4811,4811,4811,4811,4811,4811,4547,4547,4547,4547,4547,4547,4547,4547,4547,4547,4547,4547,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,2081,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,328,328,328,328,328,328,328,328,328,328,328,328,-1178,-1178,-1178,-1178,-1178,-1178,-1178,-1178,-1178,-1178,-1178,-1178,52968,52968,52968,52968,52968,52968,52968,52968,52968,52968,52968,52968,1773386,1773386,1773386,1773386,1773386,1773386,1773386,1773386,1773386,1773386,1773386,1773386,1817225,1817225,1817225,1817225,1817225,1817225,1817225,1817225,1817225,1817225,1817225,1817225,1010997,1010997,1010997,1010997,1010997,1010997,1010997,1010997,1010997,1010997,1010997,1010997,,,,,,
Turnover ratio,Basic Materials,0%,0.01%,0.03%,0.01%,0.03%,0.01%,0.01%,0%,0.03%,0.01%,0.01%,0.01%,0%,0%,0.01%,0.04%,0.01%,0%,0.01%,0.01%,0%,0.01%,0.01%,0.01%,0%,0.01%,0%,0%,0%,0%,0%,0.01%,0%,0.01%,0.01%,0%,0%,0.01%,0%,0%,0.03%,0%,0%,0%,0.11%,0.01%,0%,0%,0%,0%,0.01%,0%,0.11%,0.09%,0%,0%,0%,0.26%,0.04%,0%,0.03%,0.47%,0.65%,0.08%,0.05%,0.03%,0.64%,0.23%,0.2%,0.13%,0.04%,0.14%,0.11%,0.06%,0.1%,0.12%,0.13%,0.18%,0.17%,0.02%,0.03%,0.13%,0.04%,0.07%,0.03%,0.08%,0.03%,0.04%,0.04%,0.04%,0.03%,0.48%,0.06%,0.04%,0.05%,0.02%,0.01%,0.01%,0.02%,0.01%,0%,0.01%,0.01%,0.01%,0%,0.01%,0.04%,0.07%,0.01%,0.03%,0.13%,0.02%,0.01%,0.01%,0%,0%,0%,0%,0%,0%,0.73%,0%,0%,0.03%,0.01%,0%,0.09%,0.07%,0.09%,0.13%,0.1%,0.26%,0.12%,0.19%,0.22%,0.21%,0.36%,0.17%,0.17%,0.16%,0.12%,0.15%,0.11%,0.19%,0.1%,0.17%,0.1%,0.17%,0.31%,0.15%,0.14%,0.07%,0.18%,0.12%,0.08%,0.08%,0.03%
Return monthly,Basic Materials,,0,0,0,0,0,0,0,0,0.111087121,-0.099980567,0,0.111087121,-0.199961135,-0.125091086,0,0,0,0,0.142976124,0,0,0,0,0,0,0,0,-0.125091086,0.142976124,-0.250060724,-0.166639676,0,0.080062184,0.111011155,0.100080972,0.060503459,-0.028595225,-0.11760503,0,0.166639676,0.05719045,0,0,0.027048319,-0.079007926,1.285813437,0,0,0,-0.499969636,-0.125091086,0,0.142976124,-0.125091086,0,0,0,0.142976124,0,-0.075054651,0.540572479,-0.087701355,-0.134622571,0.266652272,-0.035114634,2.363660454,-0.351339286,0.083316465,-0.19230913,-0.238097441,0.500030364,0.033318489,0.104842501,-0.197092199,0.263625121,-0.172660865,0.695661358,-0.333325029,-0.061549385,-0.081952851,-0.035742171,0.018533513,-0.181830227,0.333387314,-0.416663293,0.228537719,-0.011637103,-0.235310928,-0.307646311,-0.333369319,5.666882591,0,0.004979596,-0.432842675,0.567824419,-0.28274756,0.086519877,-0.681409138,0.5,0.888840231,-0.117624329,0,0,0.099978104,0.01011227,0,0.239988964,-0.185499507,0.188136585,0.849996715,0.216227253,-0.055558799,-0.254907416,0.173692072,0.031389738,-0.043475281,0,0,0.045451288,-0.034787079,0,-0.027021749,-0.148148824,-0.021741924,0,-0.311108192,0.056450844,0.04579234,0.226301102,-0.083331378,0.240242623,0.073297565,0.146350842,-0.008520059,-0.163086136,-0.133340071,-0.070992117,0.146482904,-0.027765005,-0.227584964,0.071407744,0.016682542,-0.081963703,0.116048519,0.008020692,-0.150791799,0.04672669,-0.401796128,-0.014915188,-0.318159327,-0.2,0.02775762,0.189143866,0.045498404,-0.108689479,-0.073197929
Def tax,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20458,20458,20458,20458,20458,20458,20458,20458,20458,20458,20458,20458,246357,246357,246357,246357,246357,246357,246357,246357,246357,246357,246357,246357,151889,151889,151889,151889,151889,151889,151889,151889,151889,151889,151889,151889,,,,,,
Price monthly,Basic Materials,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.41,0.37,0.37,0.41,0.32,0.28,0.28,0.28,0.28,0.28,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.28,0.32,0.24,0.2,0.2,0.22,0.24,0.27,0.28,0.28,0.24,0.24,0.28,0.3,0.3,0.3,0.31,0.28,0.65,0.65,0.65,0.65,0.32,0.28,0.28,0.32,0.28,0.28,0.28,0.28,0.32,0.32,0.3,0.46,0.42,0.37,0.46,0.45,1.5,0.97,1.05,0.85,0.65,0.97,1.01,1.11,0.89,1.13,0.93,1.58,1.05,0.99,0.91,0.88,0.89,0.73,0.97,0.57,0.7,0.69,0.53,0.37,0.24,1.62,1.62,1.63,0.92,1.45,1.04,1.13,0.36,0.54,1.02,0.9,0.9,0.9,0.99,1,1,1.24,1.01,1.2,2.22,2.7,2.55,1.9,2.23,2.3,2.2,2.2,2.2,2.3,2.22,2.22,2.16,1.84,1.8,1.8,1.24,1.31,1.37,1.68,1.54,1.91,2.05,2.35,2.33,1.95,1.69,1.57,1.8,1.45,1.12,1.2,1.22,1.12,1.25,1.26,1.07,1.12,0.67,0.66,0.45,0.36,0.37,0.44,0.46,0.41,0.38
MV monthly,Basic Materials,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,3.03,2.73,2.73,3.03,2.43,2.12,2.12,2.12,2.12,2.12,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.12,2.43,1.82,1.52,1.52,1.64,1.82,2,2.12,2.06,1.82,1.82,2.12,2.25,2.25,2.25,2.31,2.12,4.85,4.85,4.85,4.85,2.43,2.12,2.12,2.43,2.12,2.12,2.12,2.12,2.43,2.43,2.25,3.46,3.16,2.73,3.46,3.34,11.23,7.28,7.89,6.37,4.85,7.28,7.52,8.31,6.67,8.43,6.98,11.83,7.89,7.4,6.8,6.55,6.67,5.46,7.28,4.25,5.22,5.16,3.94,2.73,1.82,12.14,12.14,12.2,6.92,35.16,25.22,27.4,8.73,13.1,24.74,21.83,21.83,21.83,24.01,24.25,6.98,8.65,7.05,8.37,15.49,18.84,17.8,13.26,580.68,598.91,572.87,572.87,572.87,598.91,602.5,602.5,655.77,558.62,546.47,546.47,1117.95,1181.06,1235.16,1514.64,1388.42,1722.01,1848.23,2118.7,2100.67,1758.07,1523.66,1583.65,1815.65,1462.61,1129.74,1210.43,1230.61,1129.74,1260.87,1270.95,1079.3,1129.74,675.82,665.74,468.31,374.65,385.06,457.91,478.72,426.69,395.46
NOSH,Basic Materials,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,24250,24250,24250,24250,24250,24250,24250,24250,24250,24250,24250,6978,6978,6978,6978,6978,6978,6978,6978,260394,260394,260394,260394,260394,260394,271394,271394,303596,303596,303596,303596,901575,901575,901575,901575,901575,901575,901575,901575,901575,901575,901575,922980,1008694,1008694,1008694,1008694,1008694,1008694,1008694,1008694,1008694,1008694,1008694,1008694,1040697,1040697,1040697,1040697,1040697,1040697,1040697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
