Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;1859739;1859739;1859739;1041266;1041266;1041266;1041266;1041266;1041266;1041266;1041266;1041266;1041266;1041266;1041266;2060400;2060400;2060400;2060400;2060400;2060400;2060400;2060400;2060400;2060400;2060400;2060400;1371453;1371453;1371453;1371453;1371453;1371453;1371453;1371453;1371453;1371453;1371453;1371453;2153178;2153178;2153178;2153178;2153178;2153178;2153178;2153178;2153178;2153178;2153178;2153178;1949651;1949651;1949651;1949651;1949651;1949651;1949651;1949651;1949651;1949651;1949651;1949651;5070571;5070571;5070571;5070571;5070571;5070571;5070571;5070571;5070571;5070571;5070571;5070571;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7023628;7434493;7434493;7434493;7434493;7434493;7434493;7434493;7434493;7434493;7434493;7434493;7434493;6076640;6076640;6076640;6076640;6076640;6076640;6076640;6076640;6076640;6076640;6076640;6076640;6271000;6271000;6271000;6271000;6271000;6271000;6271000;6271000;6271000;6271000;6271000;6271000;5302000;5302000;5302000;5302000;5302000;5302000;5302000;5302000;5302000;5302000;5302000;5302000;4767000;4767000;4767000;4767000;4767000;4767000;4767000;4767000;4767000;4767000;4767000;4767000;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;-0,094628071;-0,133705324;-0,22135448;0,731033842;-0,018155661;-0,097482842;-0,147350452;0,021366968;-0,041650441;-0,207291059;-0,013767318;-0,138031419;-0,13430208;-0,236495971;-0,071031225;0,019420474;-0,142474282;-0,16997485;-0,177808111;-0,093464481;-0,160268563;-0,054313996;-0,11624655;-0,074260594;-0,232923479;-0,295612221;-0,19563681;-0,153976155;0,064270312;-0,205000038;0,013521357;-0,069165979;-0,129029651;-0,098299348;-0,177030409;-0,086339252;-0,140223813;-0,063722436;-0,127865158;-0,170924751;-0,226029984;-0,131876236;-0,136099563;-0,184921431;-0,104825088;-0,111931649;-0,13463978;-0,131465131;-0,150144028;-0,298999543;-0,182270731;-0,158241638;0,014859767;-0,112627045;-0,052716203;-0,111009215;-0,134993438;-0,075425779;-0,175061486;-0,040096992;-0,035094485;-0,022510523;-0,124661277;-0,191866017;-0,035473244;-0,223690618;0,083512287;-0,145685098;0,044369482;-0,009584392;-0,146968603;-0,061688724;-0,12858765;-0,196379113;-0,0823129;-0,04963375;-0,054064376;-0,104614147;-0,066540745;-0,193812213;-0,048008825;-0,0878561;0,025955717;0,036334246;-0,202345641;-0,121933269;0,005938967;-0,224413028;-0,064070783;-0,207646897;-0,176305035;-0,139841495;-0,261811098;-0,214403059;-0,1151072;0,239356385;-0,31707102;-0,325601714;-0,063911785;-0,002023975;-0,029344209;-0,188799643;-0,136957789;-0,020306413;-0,111604969;-0,107073071;-0,166464007;-0,083113431;-0,164696746;-0,165126464;-0,056419576;-0,087762289;-0,123588621;-0,221824438;-0,026312534;-0,223913597;-0,082345752;-0,175797321;-0,038423209;-0,083353098;-0,20558313;-0,1408973;-0,174304572;-0,118075744;-0,153753376;-0,166226866;-0,159303185;-0,1635489;-0,217386189;-0,226515221;-0,085503536;-0,164664433;0,028887861;-0,163264488;-0,01507494;-0,186985275;-0,166461887;-0,09867142;-0,184480475;-0,07624583;-0,164090985;-0,096604247;-0,135026606;-0,025978133;-0,153672679;-0,053919789;-0,065056036;-0,152579815;-0,189739924;-0,178619709;0,044738681;-0,15374824;0,285570542;-0,140467;-0,124172999;-0,007572613
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,7944;0,6392;0,6675;0,4625;0,4699;0,4735;0,422;0,4604;0,3849;0,3036;0,3491;0,3104;0,3274;0,2921;0,2916;0,2504;0,2511;0,2766;0,339;0,318;0,3232;0,3157;0,3311;0,2425;0,2886;0,3386;0,589;0,5908;0,6892;0,7153;0,7539;0,7323;0,8785;0,8568;0,8638;0,9545;0,9458;1,0108;1,0014;0,9986;1,0021;1,1058;1,1065;1,0204;1,023;1,0276;1,0303;1,0306;1,0018;0,8471;0,8798;0,8637;0,7066;0,7053;0,6688;0,6828;0,625;0,564;0,5114;0,5461;0,6225;0,563;0,5471;0,5449;0,4585;0,465;0,3837;0,3697;0,3271;0,3703;0,372;0,3703;0,3198;0,4168;0,3702;0,0883;0,0812;0,1457;0,0749;0,1403;0,1765;0,1988;0,0856;-0,3324;0,0075;0,0866;0,0176;0,0398;0,059;0,2564;0,4202;0,4476;0,5412;0,5949;0,6057;0,6644;0,7132;0,8171;0,8341;0,8574;0,8455;0,8467;0,8021;0,8239;0,8342;0,8288;0,8385;0,881;0,8582;0,9629;1,0036;1,0434;1,0049;1,015;1,0429;1,0646;1,0451;1,047;1,0366;1,0352;0,8344;0,8443;0,8571;0,8682;0,8827;0,8835;1,0203;0,9921;1,0353;0,8211;0,8241;0,8097;0,9156;0,8712;0,8201;0,8146;0,8622;0,8333;0,6464;0,6534;0,5836;0,6473;0,6275;0,6032;0,5264;0,4696;0,4554;0,5052;0,3401;0,41;0,5206;0,5151;0,677;0,9665;0,959;0,7949
VO monthly avg;Consumer Goods; 40.80 ; 670.50 ; 852.01 ; 456.70 ; 863.09 ; 72.77 ; 494.23 ; 511.71 ; 218.30 ; 392.55 ; 530.72 ; 438.10 ; 161.65 ; 275.79 ; 224.29 ; 166.37 ; 318.44 ; 431.54 ; 245.27 ; 308.59 ; 243.08 ; 242.72 ; 511.42 ; 189.81 ; 130.40 ; 378.05 ; 137.54 ; 553.54 ; 246.79 ; 508.51 ; 1228.94 ; 1725.69 ; 505.25 ; 227.00 ; 513.06 ; 494.30 ; 240.77 ; 484.32 ; 390.28 ; 240.21 ; 180.76 ; 302.32 ; 298.47 ; 299.19 ; 404.20 ; 359.84 ; 324.43 ; 657.60 ; 628.30 ; 1256.54 ; 538.74 ; 260.55 ; 411.19 ; 667.76 ; 405.62 ; 484.97 ; 604.33 ; 280.65 ; 282.99 ; 538.82 ; 315.09 ; 264.38 ; 357.73 ; 207.83 ; 424.42 ; 264.81 ; 370.04 ; 582.87 ; 294.65 ; 290.50 ; 428.87 ; 448.04 ; 847.01 ; 630.50 ; 1871.19 ; 415.44 ; 579.48 ; 1419.95 ; 862.53 ; 991.48 ; 1270.12 ; 426.37 ; 284.90 ; 418.54 ; 211.08 ; 533.70 ; 299.31 ; 246.25 ; 281.46 ; 487.26 ; 346.25 ; 414.36 ; 642.32 ; 632.56 ; 613.18 ; 572.25 ; 250.31 ; 194.13 ; 248.22 ; 585.82 ; 565.94 ; 465.42 ; 252.02 ; 99.80 ; 210.15 ; 262.46 ; 1209.54 ; 769.96 ; 234.82 ; 187.22 ; 379.68 ; 374.50 ; 502.60 ; 378.48 ; 309.32 ; 188.94 ; 173.82 ; 489.00 ; 290.69 ; 273.07 ; 117.39 ; 221.21 ; 312.78 ; 197.72 ; 282.99 ; 288.11 ; 653.75 ; 415.49 ; 537.88 ; 730.50 ; 310.58 ; 162.00 ; 160.93 ; 133.31 ; 156.94 ; 365.23 ; 187.14 ; 543.30 ; 202.94 ; 275.47 ; 347.64 ; 632.86 ; 261.14 ; 526.49 ; 149.45 ; 200.11 ; 178.54 ; 478.72 ; 310.33 ; 463.51 ; 191.60 ; 436.16 ; 221.81 ; 634.72 ; 965.74 ; 667.18 ; 381.92 
Total assets;Consumer Goods;2948277;2948277;2948277;2377822;2377822;2377822;2377822;2377822;2377822;2377822;2377822;2377822;2377822;2377822;2377822;3334852;3334852;3334852;3334852;3334852;3334852;3334852;3334852;3334852;3334852;3334852;3334852;2750867;2750867;2750867;2750867;2750867;2750867;2750867;2750867;2750867;2750867;2750867;2750867;3614937;3614937;3614937;3614937;3614937;3614937;3614937;3614937;3614937;3614937;3614937;3614937;3753383;3753383;3753383;3753383;3753383;3753383;3753383;3753383;3753383;3753383;3753383;3753383;6990099;6990099;6990099;6990099;6990099;6990099;6990099;6990099;6990099;6990099;6990099;6990099;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9014687;9667837;9667837;9667837;9667837;9667837;9667837;9667837;9667837;9667837;9667837;9667837;9667837;8361580;8361580;8361580;8361580;8361580;8361580;8361580;8361580;8361580;8361580;8361580;8361580;7846000;7846000;7846000;7846000;7846000;7846000;7846000;7846000;7846000;7846000;7846000;7846000;7056000;7056000;7056000;7056000;7056000;7056000;7056000;7056000;7056000;7056000;7056000;7056000;7187000;7187000;7187000;7187000;7187000;7187000;7187000;7187000;7187000;7187000;7187000;7187000;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;4189312;4189312;4189312;4472796;4472796;4472796;4472796;4472796;4472796;4472796;4472796;4472796;4472796;4472796;4472796;6157964;6157964;6157964;6157964;6157964;6157964;6157964;6157964;6157964;6157964;6157964;6157964;5913941;5913941;5913941;5913941;5913941;5913941;5913941;5913941;5913941;5913941;5913941;5913941;6246885;6246885;6246885;6246885;6246885;6246885;6246885;6246885;6246885;6246885;6246885;6246885;5431168;5431168;5431168;5431168;5431168;5431168;5431168;5431168;5431168;5431168;5431168;5431168;6435570;6435570;6435570;6435570;6435570;6435570;6435570;6435570;6435570;6435570;6435570;6435570;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;7932810;8780429;8780429;8780429;8780429;8780429;8780429;8780429;8780429;8780429;8780429;8780429;8780429;7258840;7258840;7258840;7258840;7258840;7258840;7258840;7258840;7258840;7258840;7258840;7258840;7290000;7290000;7290000;7290000;7290000;7290000;7290000;7290000;7290000;7290000;7290000;7290000;7612000;7612000;7612000;7612000;7612000;7612000;7612000;7612000;7612000;7612000;7612000;7612000;8573000;8573000;8573000;8573000;8573000;8573000;8573000;8573000;8573000;8573000;8573000;8573000;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;1088538;1088538;1088538;1336358;1336358;1336358;1336358;1336358;1336358;1336358;1336358;1336358;1336358;1336358;1336358;1273784;1273784;1273784;1273784;1273784;1273784;1273784;1273784;1273784;1273784;1273784;1273784;1379414;1379414;1379414;1379414;1379414;1379414;1379414;1379414;1379414;1379414;1379414;1379414;947409;947409;947409;947409;947409;947409;947409;947409;947409;947409;947409;947409;1172638;1172638;1172638;1172638;1172638;1172638;1172638;1172638;1172638;1172638;1172638;1172638;1230590;1230590;1230590;1230590;1230590;1230590;1230590;1230590;1230590;1230590;1230590;1230590;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1378651;1486866;1486866;1486866;1486866;1486866;1486866;1486866;1486866;1486866;1486866;1486866;1486866;1601479;1601479;1601479;1601479;1601479;1601479;1601479;1601479;1601479;1601479;1601479;1601479;1571000;1571000;1571000;1571000;1571000;1571000;1571000;1571000;1571000;1571000;1571000;1571000;1750000;1750000;1750000;1750000;1750000;1750000;1750000;1750000;1750000;1750000;1750000;1750000;2182000;2182000;2182000;2182000;2182000;2182000;2182000;2182000;2182000;2182000;2182000;2182000;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,01%;0,21%;0,26%;0,14%;0,13%;0,01%;0,07%;0,08%;0,03%;0,06%;0,08%;0,06%;0,02%;0,04%;0,03%;0,02%;0,05%;0,06%;0,04%;0,05%;0,04%;0,04%;0,08%;0,03%;0,04%;0,11%;0,04%;0,16%;0,07%;0,14%;0,35%;0,49%;0,14%;0,06%;0,15%;0,14%;0,07%;0,13%;0,11%;0,07%;0,05%;0,08%;0,08%;0,08%;0,11%;0,10%;0,09%;0,18%;0,17%;0,35%;0,15%;0,07%;0,11%;0,19%;0,11%;0,13%;0,17%;0,08%;0,08%;0,15%;0,09%;0,07%;0,10%;0,06%;0,11%;0,07%;0,10%;0,16%;0,08%;0,08%;0,11%;0,12%;0,23%;0,17%;0,50%;0,11%;0,16%;0,38%;0,23%;0,27%;0,34%;0,11%;0,08%;0,11%;0,06%;0,14%;0,08%;0,07%;0,08%;0,13%;0,09%;0,11%;0,17%;0,17%;0,16%;0,15%;0,07%;0,05%;0,07%;0,16%;0,15%;0,12%;0,07%;0,03%;0,06%;0,07%;0,32%;0,21%;0,06%;0,05%;0,10%;0,10%;0,13%;0,10%;0,08%;0,05%;0,05%;0,13%;0,08%;0,07%;0,03%;0,06%;0,08%;0,05%;0,08%;0,08%;0,17%;0,11%;0,14%;0,19%;0,08%;0,04%;0,04%;0,04%;0,04%;0,10%;0,05%;0,14%;0,05%;0,07%;0,09%;0,17%;0,07%;0,14%;0,04%;0,05%;0,05%;0,13%;0,08%;0,12%;0,05%;0,12%;0,06%;0,17%;0,26%;0,18%;0,10%
Return monthly;Consumer Goods;;0,069241529;0,025147176;-0,07011698;0,881137542;0,129574839;0,037603158;-0,012345252;0,152515668;0,084576359;-0,079997759;0,108387882;-0,002005219;0,00600022;-0,093625171;0,076943975;0,153039774;-0,008848482;-0,03141785;-0,047174111;0,039597119;-0,028579463;0,078445304;0,00383095;0,048421206;-0,111891679;-0,160005221;-0,05951641;-0,012656555;0,205134212;-0,063404338;0,154756257;0,082479521;0,019048749;0,046720052;-0,024596909;0,064046148;0,019456587;0,093765764;0,031746642;-0,007692451;-0,054264584;0,042433264;0,032785637;-0,015872431;0,064513712;0,057577251;0,01718802;0,012448269;-0,016576728;-0,166672143;-0,041657631;-0,030425838;0,143493667;0,009407355;0,069300197;0,009265785;-0,018361438;0,037392421;-0,063057186;0,073620508;0,074674515;0,084756777;-0,015632577;-0,088880517;0,071421756;-0,113817518;0,192603387;-0,038397798;0,148098382;0,094201608;-0,045039703;0,036608676;-0,02577925;-0,094706513;0;0,03538185;0,040114724;-0,014195447;0,028348155;-0,100142713;0,045165575;0,0030867;0,090764517;0,122956746;-0,107139841;-0,028574469;0,102946367;-0,119996028;0,059082417;-0,089374297;-0,056906235;-0,017245895;-0,133332398;-0,092743959;0;0,363637985;-0,17999372;-0,187003414;0,075004415;0,139542525;0,113547891;-0,049517343;0,001997911;0,119998187;0,030359431;0,036402429;-0,020511007;0,061403169;-0,016534046;-0,016799664;0,094014624;0,062496411;0,028156379;-0,074071738;0,120007266;-0,078572297;0,062015248;-0,027741521;0,108144391;0,055564102;-0,06579223;0;-0,035207972;0,020434356;-0,014092876;-0,019547966;-0,018400885;-0,015625;-0,087306889;-0,095646921;0,044807564;-0,029631633;0,162223461;-0,032848188;0,11299486;-0,055116675;-0,041663987;0,00870178;-0,075866275;0,02612097;-0,056361085;0,009628253;-0,033175006;0,072435067;-0,060037879;0,039920411;0,026871564;-0,059353515;-0,088109924;-0,067421909;0,159039981;-0,03534724;0,422410042;0;0,005005701;-0,007572613
