Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;185536;185536;185536;185536;185536;185536;185536;403669;403669;403669;403669;403669;403669;403669;403669;403669;403669;403669;403669;577247;577247;577247;577247;577247;577247;577247;577247;577247;577247;577247;577247;588882;588882;588882;588882;588882;588882;588882;588882;588882;588882;588882;588882;643570;643570;643570;643570;643570;643570;643570;643570;643570;643570;643570;643570;738802;738802;738802;738802;738802;738802;738802;738802;738802;738802;738802;738802;952542;952542;952542;952542;952542;952542;952542;952542;952542;952542;952542;952542;1215655;1215655;1215655;1215655;1215655;1215655;1215655;1215655;1215655;1215655;1215655;1215655;1016164;1016164;1016164;1016164;1016164;1016164;1016164;1016164;1016164;1016164;1016164;1016164;1256153;1256153;1256153;1256153;1256153;1256153;1256153;1256153;1256153;1256153;1256153;1256153;1814219;1814219;1814219;1814219;1814219;1814219;1814219;1814219;1814219;1814219;1814219;1814219;1830605;1830605;1830605;1830605;1830605;1830605;1830605;1830605;1830605;1830605;1830605;1830605;3542029;3542029;3542029;3542029;3542029;3542029;3542029;3542029;3542029;3542029;3542029;3542029;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,145288908;-0,223326969;-0,433635405;0,024911862;0,020516082;-0,308502207;-0,33296497;-0,076937515;-0,265017608;-0,295434106;-0,003789543;0,120493647;-0,296296397;-0,132085775;-0,21112814;-0,137721626;-0,084389024;-0,326542224;-0,201402514;0,005110825;-0,12873293;-0,139221538;-0,257243741;-0,154670172;-0,246003532;-0,269706512;-0,406522108;-0,365121655;0,131588538;-0,198538171;-0,145863691;-0,266974189;-0,243139213;-0,187433784;-0,262147875;-0,085652901;0,055187203;-0,233821266;-0,196186961;-0,254475293;-0,22645143;-0,223792008;-0,215795606;-0,12344296;-0,200731718;-0,212815717;-0,058105142;-0,173175947;-0,218112583;-0,055749679;-0,1549582;-0,131478955;0,031576955;0,037508283;-0,093120183;-0,169019937;0,021573471;-0,021011888;-0,057804025;-0,086532294;0,191187172;-0,108330094;0,075910078;-0,142379813;0,059918925;-0,128040641;-0,077316638;-0,182887928;-0,142846062;-0,052028327;-0,089550698;0,080475571;-0,152896788;-0,107442287;-0,09081906;-0,041088451;-0,15972618;-0,139839899;-0,198978194;-0,043016792;-0,239014172;-0,225998041;-0,148990975;-0,214762755;-0,095257334;0,491142445;-0,223153027;-0,281492559;-0,173905252;-0,214178034;-0,423743755;-0,178834017;-0,333070758;-0,51312606;-0,475714087;-0,221785655;-0,321241411;0,074629415;0,024467286;-0,07688544;0,027936924;-0,30482054;0,055863428;-0,107725099;-0,357414511;-0,066639716;-0,118698056;0,012809504;-0,132951139;-0,270293084;-0,084708532;-0,072184487;-0,27524442;-0,195901378;-0,190351631;-0,244033096;0,002833548;-0,095681525;-0,227491929;-0,16065263;-0,231742008;-0,027754289;-0,289372125;-0,185011886;-0,114743876;-0,236255714;-0,284596509;-0,186335983;-0,22815194;-0,208957121;-0,067696843;-0,234045859;-0,021521586;-0,121300667;-0,151877046;-0,17274199;-0,366919135;-0,258540453;-0,050707255;-0,094870594;-0,036932295;-0,064147404;-0,081305302;-0,068194327;-0,172053947;-0,07793776;-0,133004257;-0,316026576;-0,079806348;-0,269310113;-0,03565147;-0,004183261;-0,162825217;-0,211635502;-0,205958811;0,049995283
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;1,0711;1,1533;1,2782;1,2397;1,1652;1,267;1,2948;1,2606;1,2951;1,2866;1,2958;1,4733;1,4865;1,4107;1,4087;1,3509;1,3494;1,3505;1,2069;1,2026;1,2518;1,2453;1,2686;1,3089;1,3077;1,3315;1,28;1,3005;1,3309;1,2968;1,279;1,2589;1,3901;1,2724;1,2435;1,0684;1,125;1,1308;1,1303;1,1384;1,1198;1,3312;1,326;1,2476;1,2252;1,241;1,3309;1,3306;1,3772;1,3796;1,2826;1,0914;0,9422;0,952;0,9543;0,9803;1,0733;1,1006;1,0585;1,033;1,1666;1,1325;1,1991;1,1395;0,9552;0,9148;0,9871;0,9325;0,9821;0,9482;0,949;0,9561;0,9338;0,967;0,9102;0,8645;0,8943;0,93;1,0053;1,0128;0,8433;0,9354;0,964;0,6515;0,4611;1,6485;1,5627;1,738;1,7269;1,6488;1,7502;1,8501;1,6435;1,7389;1,7049;1,6519;1,6678;1,3518;1,377;1,3905;1,4251;1,4443;1,4801;1,4832;1,5881;1,586;1,5911;1,6033;1,6473;1,2865;1,2774;1,3074;1,3366;1,3352;1,2033;1,2401;1,2587;1,0563;1,0544;1,0256;1,465;1,4662;1,499;1,5071;1,3684;1,3897;1,301;1,2844;1,2736;0,98;0,9861;0,9464;1,0701;1,0543;1,0379;1,0548;1,157;1,1746;1,3669;1,3796;1,2938;1,2988;1,3237;1,4456;1,4071;1,2381;1,2023;1,368;1,3138;1,3034;1,3098;1,3351;1,2905;1,6456;1,6392;1,5768
VO monthly avg;Basic Materials; 67.30 ; 410.57 ; 509.28 ; 423.30 ; 540.00 ; 323.76 ; 454.96 ; 463.03 ; 875.55 ; 355.97 ; 376.02 ; 206.31 ; 427.71 ; 233.93 ; 437.96 ; 215.34 ; 461.62 ; 207.62 ; 170.17 ; 264.95 ; 384.21 ; 166.45 ; 182.69 ; 267.17 ; 152.61 ; 152.57 ; 277.02 ; 221.95 ; 173.47 ; 340.53 ; 167.89 ; 216.03 ; 479.52 ; 214.70 ; 214.61 ; 149.87 ; 164.08 ; 249.71 ; 233.85 ; 212.75 ; 236.20 ; 248.66 ; 141.60 ; 199.97 ; 426.60 ; 215.14 ; 199.77 ; 514.30 ; 110.02 ; 226.08 ; 327.92 ; 187.70 ; 163.58 ; 167.63 ; 334.79 ; 425.00 ; 286.99 ; 244.17 ; 221.17 ; 229.97 ; 138.12 ; 250.23 ; 230.74 ; 308.37 ; 187.48 ; 204.09 ; 366.56 ; 341.06 ; 227.28 ; 241.56 ; 281.53 ; 371.97 ; 262.67 ; 479.57 ; 1293.01 ; 737.79 ; 620.23 ; 457.87 ; 735.32 ; 535.34 ; 1056.28 ; 766.69 ; 690.81 ; 719.40 ; 270.67 ; 770.82 ; 974.60 ; 634.38 ; 265.46 ; 663.37 ; 360.60 ; 469.58 ; 782.27 ; 1012.83 ; 875.53 ; 739.09 ; 496.64 ; 544.02 ; 536.75 ; 460.56 ; 520.71 ; 628.42 ; 577.80 ; 539.84 ; 888.31 ; 700.13 ; 990.38 ; 888.51 ; 535.70 ; 1129.06 ; 614.69 ; 658.27 ; 862.08 ; 1169.00 ; 657.18 ; 743.00 ; 437.03 ; 766.44 ; 325.25 ; 449.16 ; 333.70 ; 733.32 ; 821.45 ; 600.63 ; 1777.32 ; 1338.75 ; 681.25 ; 1483.12 ; 2022.06 ; 611.26 ; 997.56 ; 1197.18 ; 818.05 ; 1058.99 ; 714.60 ; 598.00 ; 389.82 ; 1310.38 ; 1890.53 ; 819.97 ; 558.17 ; 762.58 ; 476.27 ; 485.35 ; 421.39 ; 813.07 ; 617.74 ; 597.65 ; 694.56 ; 1153.37 ; 724.50 ; 757.22 ; 622.20 ; 483.81 ; 510.20 ; 505.42 ; 745.72 
Total assets;Basic Materials;2150975;2150975;2150975;2150975;2150975;2150975;2150975;2296577;2296577;2296577;2296577;2296577;2296577;2296577;2296577;2296577;2296577;2296577;2296577;2092755;2092755;2092755;2092755;2092755;2092755;2092755;2092755;2092755;2092755;2092755;2092755;2172524;2172524;2172524;2172524;2172524;2172524;2172524;2172524;2172524;2172524;2172524;2172524;2240323;2240323;2240323;2240323;2240323;2240323;2240323;2240323;2240323;2240323;2240323;2240323;2735975;2735975;2735975;2735975;2735975;2735975;2735975;2735975;2735975;2735975;2735975;2735975;3333988;3333988;3333988;3333988;3333988;3333988;3333988;3333988;3333988;3333988;3333988;3333988;4119526;4119526;4119526;4119526;4119526;4119526;4119526;4119526;4119526;4119526;4119526;4119526;9348350;9348350;9348350;9348350;9348350;9348350;9348350;9348350;9348350;9348350;9348350;9348350;10089307;10089307;10089307;10089307;10089307;10089307;10089307;10089307;10089307;10089307;10089307;10089307;11929571;11929571;11929571;11929571;11929571;11929571;11929571;11929571;11929571;11929571;11929571;11929571;12243852;12243852;12243852;12243852;12243852;12243852;12243852;12243852;12243852;12243852;12243852;12243852;14357664;14357664;14357664;14357664;14357664;14357664;14357664;14357664;14357664;14357664;14357664;14357664;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;1567883;1567883;1567883;1567883;1567883;1567883;1567883;1560685;1560685;1560685;1560685;1560685;1560685;1560685;1560685;1560685;1560685;1560685;1560685;1471999;1471999;1471999;1471999;1471999;1471999;1471999;1471999;1471999;1471999;1471999;1471999;1720399;1720399;1720399;1720399;1720399;1720399;1720399;1720399;1720399;1720399;1720399;1720399;1554501;1554501;1554501;1554501;1554501;1554501;1554501;1554501;1554501;1554501;1554501;1554501;2386326;2386326;2386326;2386326;2386326;2386326;2386326;2386326;2386326;2386326;2386326;2386326;3739805;3739805;3739805;3739805;3739805;3739805;3739805;3739805;3739805;3739805;3739805;3739805;3886137;3886137;3886137;3886137;3886137;3886137;3886137;3886137;3886137;3886137;3886137;3886137;3186042;3186042;3186042;3186042;3186042;3186042;3186042;3186042;3186042;3186042;3186042;3186042;3945083;3945083;3945083;3945083;3945083;3945083;3945083;3945083;3945083;3945083;3945083;3945083;3571048;3571048;3571048;3571048;3571048;3571048;3571048;3571048;3571048;3571048;3571048;3571048;3684000;3684000;3684000;3684000;3684000;3684000;3684000;3684000;3684000;3684000;3684000;3684000;4420977;4420977;4420977;4420977;4420977;4420977;4420977;4420977;4420977;4420977;4420977;4420977;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;1965439;1965439;1965439;1965439;1965439;1965439;1965439;1892908;1892908;1892908;1892908;1892908;1892908;1892908;1892908;1892908;1892908;1892908;1892908;1515508;1515508;1515508;1515508;1515508;1515508;1515508;1515508;1515508;1515508;1515508;1515508;1583642;1583642;1583642;1583642;1583642;1583642;1583642;1583642;1583642;1583642;1583642;1583642;1596753;1596753;1596753;1596753;1596753;1596753;1596753;1596753;1596753;1596753;1596753;1596753;1997173;1997173;1997173;1997173;1997173;1997173;1997173;1997173;1997173;1997173;1997173;1997173;2381446;2381446;2381446;2381446;2381446;2381446;2381446;2381446;2381446;2381446;2381446;2381446;2903871;2903871;2903871;2903871;2903871;2903871;2903871;2903871;2903871;2903871;2903871;2903871;8332186;8332186;8332186;8332186;8332186;8332186;8332186;8332186;8332186;8332186;8332186;8332186;8833154;8833154;8833154;8833154;8833154;8833154;8833154;8833154;8833154;8833154;8833154;8833154;10115352;10115352;10115352;10115352;10115352;10115352;10115352;10115352;10115352;10115352;10115352;10115352;10413247;10413247;10413247;10413247;10413247;10413247;10413247;10413247;10413247;10413247;10413247;10413247;10806119;10806119;10806119;10806119;10806119;10806119;10806119;10806119;10806119;10806119;10806119;10806119;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,03%;0,18%;0,22%;0,18%;0,23%;0,14%;0,20%;0,20%;0,38%;0,15%;0,16%;0,09%;0,19%;0,10%;0,19%;0,09%;0,20%;0,09%;0,07%;0,11%;0,17%;0,07%;0,08%;0,12%;0,07%;0,07%;0,12%;0,10%;0,07%;0,15%;0,07%;0,09%;0,21%;0,09%;0,09%;0,06%;0,07%;0,11%;0,10%;0,09%;0,10%;0,11%;0,06%;0,09%;0,18%;0,09%;0,09%;0,22%;0,05%;0,10%;0,14%;0,08%;0,07%;0,07%;0,14%;0,18%;0,12%;0,11%;0,09%;0,10%;0,06%;0,11%;0,10%;0,13%;0,08%;0,09%;0,16%;0,14%;0,10%;0,10%;0,12%;0,16%;0,11%;0,20%;0,55%;0,31%;0,26%;0,19%;0,31%;0,23%;0,45%;0,32%;0,29%;0,30%;0,11%;0,32%;0,41%;0,27%;0,11%;0,28%;0,15%;0,20%;0,22%;0,28%;0,24%;0,21%;0,14%;0,15%;0,15%;0,13%;0,14%;0,17%;0,16%;0,15%;0,25%;0,19%;0,27%;0,25%;0,15%;0,31%;0,17%;0,18%;0,24%;0,32%;0,18%;0,21%;0,12%;0,21%;0,09%;0,12%;0,09%;0,20%;0,23%;0,17%;0,49%;0,37%;0,18%;0,39%;0,53%;0,16%;0,26%;0,31%;0,21%;0,28%;0,19%;0,16%;0,10%;0,34%;0,49%;0,21%;0,15%;0,20%;0,12%;0,13%;0,11%;0,21%;0,16%;0,16%;0,18%;0,30%;0,19%;0,20%;0,16%;0,13%;0,13%;0,13%;0,19%
Return monthly;Basic Materials;;0,050968992;-0,026000369;-0,233434305;0,218819462;0,218237082;-0,118429807;-0,14754717;0,111553785;-0,076861808;-0,108498706;0,191628357;0,329543147;-0,085522297;0,081162325;0,00617856;0,065090574;0,116892476;-0,133307524;-0,015038714;0,196674225;0,06152097;0,052600262;-0,069983041;0,032214928;-0,062419032;-0,090566512;-0,225690608;-0,183374955;0,309086938;-0,023861171;0,028547009;-0,083097889;-0,068878013;-0,018493284;-0,102538675;0,076022099;0,222427603;-0,068212366;-0,027767761;-0,083827893;-0,04048583;-0,035654008;-0,032596806;0,05834464;-0,017948718;-0,024369017;0,112622658;-0,005612347;-0,050997783;0,101954121;0;0,011179645;0,175752955;0,177529183;0,047638717;-0,020502037;0,172011271;0,126273612;0,084874975;0,061463506;0,336834672;0,040013206;0,222398578;-0,008102213;0,195151325;0,019846659;0,067230862;-0,034335628;-0,002709462;0,088108673;0,049283602;0,217454971;-0,015425788;0,028250313;0,04039444;0,095152449;-0,01613618;0,009194001;-0,049121794;0,092661108;-0,099433972;-0,079716041;-0,022196475;-0,099563455;0,098348166;0,681842545;-0,019159027;-0,071997859;0,036969148;-0,012115434;-0,215987455;0,013206483;-0,132520058;-0,32221736;-0,298394387;-0,037364255;-0,150478011;0,247430415;0,196968786;0,10119586;0,208477824;-0,12282424;0,236355028;0,080075201;-0,167746511;0,124249584;0,072759844;0,207039404;0,035598361;-0,104716884;0,082357668;0,098971313;-0,10332682;-0,038043478;-0,032975331;-0,085234996;0,147780448;0,053495675;-0,081529129;0,01799237;-0,052771408;0,153582711;-0,110024825;-0,015902686;0,056807224;-0,071892714;-0,125279309;-0,023399183;-0,08806194;-0,067882821;0,071226357;-0,089279559;0,123349314;0,022837033;-0,008674646;-0,02230099;-0,220619335;-0,105775753;0,103657545;0,052238806;0,111842105;0,085945696;0,073617498;0,085702973;-0,030003647;0,06295714;0,013279743;-0,161457176;0,078107852;-0,108392713;0,13030983;0,152868239;0,016797583;-0,028315902;-0,027520411;0,049995283
