Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;276650;276650;276650;276650;276650;276650;276650;276650;276650;276650;111439;111439;111439;111439;111439;111439;111439;111439;111439;111439;111439;111439;122418;122418;122418;122418;122418;122418;122418;122418;122418;122418;122418;122418;143874;143874;143874;143874;143874;143874;143874;143874;143874;143874;143874;143874;163619;163619;163619;163619;163619;163619;163619;163619;163619;163619;163619;163619;238207;238207;238207;238207;238207;238207;238207;238207;238207;238207;238207;238207;282861;282861;282861;282861;282861;282861;282861;282861;282861;282861;282861;282861;312901;312901;312901;312901;312901;312901;312901;312901;312901;312901;312901;312901;254791;254791;254791;254791;254791;254791;254791;254791;254791;254791;254791;254791;248931;248931;248931;248931;248931;248931;248931;248931;248931;248931;248931;248931;277406;277406;277406;277406;277406;277406;277406;277406;277406;277406;277406;277406;286732;286732;286732;286732;286732;286732;286732;286732;286732;286732;286732;286732;434951;434951;434951;434951;434951;434951;434951;434951;434951;434951;434951;434951;NA;NA;NA
Excess return;Consumer Goods;;-0,367732105;0,086347531;-0,370711405;-0,1622123;-0,1598391;-0,1315706;0,113943331;0,244910998;-0,576147996;-0,407053869;0,170638613;-0,1690697;0,329968;-0,1736652;0,494353308;-0,158876;-0,059793304;-0,1543763;-0,066636289;0,341986121;-0,047460263;-0,308161459;0,065110764;-0,263014362;-0,005928912;-0,1662187;-0,213760313;-0,323162932;0,316324381;-0,220192087;-0,09676063;-0,09611105;-0,091659115;-0,119949345;-0,136491453;0,048902269;-0,297369429;-0,083703586;-0,328091779;-0,048730211;-0,027090104;-0,173001303;0,032598362;-0,137338775;-0,24924099;-0,108109943;-0,055407005;-0,101276034;-0,272535637;-0,02724093;-0,237852253;-0,010582065;-0,219130037;-0,038602176;-0,0962746;-0,239907416;-0,135924167;-0,061456386;-0,130930244;0,029216195;-0,136465552;-0,005122928;-0,177835433;-0,144272177;-0,00587152;-0,067699045;-0,184914544;0,02838648;-0,111484718;0,024137624;-0,191756758;0,006632083;0,251611724;-0,222703291;0,012740681;0,030502203;-0,136533413;-0,1080713;-0,137193562;-0,046118909;-0,151451672;-0,096046107;-0,106299693;-0,189891371;-0,353585704;-0,203355681;-0,1540917;-0,097859248;-0,082395461;-0,415350443;-0,208814672;-0,293762116;-0,103918134;-0,160091434;-0,021064911;0,02494324;-0,00251436;-0,19688968;-0,355989845;0,339079592;-0,180183392;-0,090598661;-0,065653967;-0,157717205;-0,069355667;-0,094723912;-0,1215468;0,405829538;-0,04712808;-0,087854255;-0,100851419;-0,125410122;-0,205874714;-0,190313474;-0,519555566;0,346202088;0,129596188;-0,041173018;0,019486695;0,110187312;-0,0818183;-0,0884246;-0,338272246;-0,0874549;0,081572952;0,061464032;-0,080038;-0,0882125;-0,0833963;-0,0833915;-0,142767903;0,146588819;-0,013008916;-0,017721715;-0,067552;-0,045344116;0,059215966;-0,0981941;-0,0982885;-0,077948;-0,0793925;-0,078796;-0,054996629;0,072616646;-0,0596211;0,025596437;-0,0208586;-0,0706534;-0,1084088;-0,407452643;0,524681365;0,133237814;-0,184989477;-0,180617338;-0,248865908;0,189202183
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,7522;0,6927;0,7559;0,7638;0,6621;0,6657;0,3662;0,4893;0,761;0,6385;0,8337;0,9322;0,8519;0,764;0,7804;0,653;0,652;0,6861;0,5901;0,7492;0,7152;0,7418;0,7326;1,0429;1,0004;1,02;1,0749;1,1041;1,3067;1,4274;1,3911;1,2959;1,176;1,0555;0,9777;1,1973;1,1483;1,2128;1,1903;1,1674;1,168;1,454;1,4725;1,2247;1,1415;1,0991;1,0265;1,0266;1,1612;1,2;1,3096;1,0843;0,2889;0,2888;0,2438;0,2742;0,2145;0,196;0,0482;0,1557;0,1583;0,0149;-0,039;0,0167;0,0315;0,023;0,0846;0,1297;0,1574;0,1415;0,1449;0,1767;0,0958;0,0827;0,0589;0,3119;0,3287;0,3577;0,3551;0,3312;0,4143;0,4229;0,4106;0,5678;0,9353;0,7159;0,8103;0,9459;0,9691;1,1971;1,0942;1,0742;0,7528;0,6991;0,7366;0,6591;0,6104;0,6661;0,3483;0,4322;0,3836;0,3808;0,4078;0,3977;0,406;0,4136;0,4179;0,4936;0,4046;0,4921;0,4676;0,4628;0,4067;0,4314;0,1302;-0,0651;0,0452;-0,1276;-0,1301;-0,0651;-0,3183;-0,0759;0,0242;0,0612;0,0723;0,0183;-0,0165;0,026;0,0875;0,0801;0,0705;-0,1826;-0,1236;-0,1566;-0,133;-0,146;-0,3531;-0,4995;0,5007;0,4895;0,196;0,1975;0,192;0,0033;-0,0435;-0,0703;-0,1701;-0,0354;-0,0182;0,5176;0,9146;0,9548;0,8845;1,0664;1,1339;1,5042
VO monthly avg;Consumer Goods; 20.00 ; 129.58 ; 105.29 ; 412.46 ; 286.31 ; 275.64 ; 908.91 ; 704.11 ; 253.33 ; 115.81 ; 76.75 ; 86.17 ; 80.22 ; 326.15 ; 679.07 ; 429.80 ; 705.52 ; 682.65 ; 105.72 ; 524.10 ; 454.67 ; 107.03 ; 180.20 ; 349.02 ; 238.38 ; 412.19 ; 723.37 ; 189.55 ; 144.34 ; 1236.70 ; 745.38 ; 523.33 ; 1038.14 ; 396.76 ; 146.16 ; 123.55 ; 316.69 ; 181.21 ; 156.85 ; 239.28 ; 113.14 ; 125.30 ; 1202.96 ; 416.82 ; 411.14 ; 72.29 ; 56.15 ; 309.98 ; 147.07 ; 176.52 ; 210.87 ; 1292.97 ; 229.56 ; 596.18 ; 407.97 ; 116.94 ; 72.89 ; 137.65 ; 65.16 ; 64.16 ; 52.26 ; 80.90 ; 91.93 ; 42.61 ; 51.31 ; 62.41 ; 69.09 ; 86.44 ; 18.58 ; 14.04 ; 132.02 ; 36.15 ; 75.97 ; 158.60 ; 67.22 ; 49.73 ; 42.27 ; 46.17 ; 201.16 ; 54.41 ; 224.44 ; 7.69 ; 141.88 ; 35.88 ; 4.98 ; 20.66 ; 3.67 ; 1.32 ; 12.71 ; 13.32 ; 40.32 ; 32.28 ; 575.20 ; 6.14 ; 77.97 ; 31.92 ; 18.68 ; 7.29 ; 0.01 ; 25.08 ; 17.18 ; 16.50 ; 29.90 ; 8.60 ; 10.30 ; 10.46 ; 5.09 ; 0.00 ; 31.21 ; 46.73 ; 23.05 ; 31.58 ; 27.16 ; 16.57 ; 0.36 ; 3.06 ; 23.71 ; 31.95 ; 36.95 ; 30.90 ; 21.35 ; 16.42 ; 10.15 ; 4.83 ; 0.33 ; 7.34 ; 19.26 ; 17.87 ; 20.02 ; 8.66 ; 0.00 ; 9.11 ; 20.57 ; 12.19 ; 25.84 ; 28.49 ; 0.77 ; 8.46 ; 12.24 ; 39.35 ; 12.03 ; 5.79 ; 2.45 ; 5.26 ; 7.78 ; 7.21 ; 3.91 ; 5.40 ; 0.68 ; 2.86 ; 0.38 ; 4.01 ; 8.58 ; 7.10 ; 2.85 ; 6.06 ; 4.05 
Total assets;Consumer Goods;321526;321526;321526;321526;321526;321526;321526;321526;321526;321526;161928;161928;161928;161928;161928;161928;161928;161928;161928;161928;161928;161928;184430;184430;184430;184430;184430;184430;184430;184430;184430;184430;184430;184430;224197;224197;224197;224197;224197;224197;224197;224197;224197;224197;224197;224197;224831;224831;224831;224831;224831;224831;224831;224831;224831;224831;224831;224831;310441;310441;310441;310441;310441;310441;310441;310441;310441;310441;310441;310441;370092;370092;370092;370092;370092;370092;370092;370092;370092;370092;370092;370092;406307;406307;406307;406307;406307;406307;406307;406307;406307;406307;406307;406307;367362;367362;367362;367362;367362;367362;367362;367362;367362;367362;367362;367362;388682;388682;388682;388682;388682;388682;388682;388682;388682;388682;388682;388682;439110;439110;439110;439110;439110;439110;439110;439110;439110;439110;439110;439110;476811;476811;476811;476811;476811;476811;476811;476811;476811;476811;476811;476811;760674;760674;760674;760674;760674;760674;760674;760674;760674;760674;760674;760674;NA;NA;NA
Net sales;Consumer Goods;428321;428321;428321;428321;428321;428321;428321;428321;428321;428321;138613;138613;138613;138613;138613;138613;138613;138613;138613;138613;138613;138613;160075;160075;160075;160075;160075;160075;160075;160075;160075;160075;160075;160075;204838;204838;204838;204838;204838;204838;204838;204838;204838;204838;204838;204838;230299;230299;230299;230299;230299;230299;230299;230299;230299;230299;230299;230299;269076;269076;269076;269076;269076;269076;269076;269076;269076;269076;269076;269076;353710;353710;353710;353710;353710;353710;353710;353710;353710;353710;353710;353710;389939;389939;389939;389939;389939;389939;389939;389939;389939;389939;389939;389939;403949;403949;403949;403949;403949;403949;403949;403949;403949;403949;403949;403949;401069;401069;401069;401069;401069;401069;401069;401069;401069;401069;401069;401069;390783;390783;390783;390783;390783;390783;390783;390783;390783;390783;390783;390783;448845;448845;448845;448845;448845;448845;448845;448845;448845;448845;448845;448845;592689;592689;592689;592689;592689;592689;592689;592689;592689;592689;592689;592689;NA;NA;NA
common equity;Consumer Goods;7110;7110;7110;7110;7110;7110;7110;7110;7110;7110;24414;24414;24414;24414;24414;24414;24414;24414;24414;24414;24414;24414;35966;35966;35966;35966;35966;35966;35966;35966;35966;35966;35966;35966;54277;54277;54277;54277;54277;54277;54277;54277;54277;54277;54277;54277;60166;60166;60166;60166;60166;60166;60166;60166;60166;60166;60166;60166;71188;71188;71188;71188;71188;71188;71188;71188;71188;71188;71188;71188;86180;86180;86180;86180;86180;86180;86180;86180;86180;86180;86180;86180;92855;92855;92855;92855;92855;92855;92855;92855;92855;92855;92855;92855;111520;111520;111520;111520;111520;111520;111520;111520;111520;111520;111520;111520;138704;138704;138704;138704;138704;138704;138704;138704;138704;138704;138704;138704;161139;161139;161139;161139;161139;161139;161139;161139;161139;161139;161139;161139;189431;189431;189431;189431;189431;189431;189431;189431;189431;189431;189431;189431;323373;323373;323373;323373;323373;323373;323373;323373;323373;323373;323373;323373;NA;NA;NA
Turnover ratio;Consumer Goods;0,00%;0,02%;0,01%;0,06%;0,04%;0,04%;0,13%;0,10%;0,04%;0,02%;0,01%;0,01%;0,01%;0,05%;0,10%;0,06%;0,10%;0,10%;0,02%;0,08%;0,07%;0,02%;0,03%;0,05%;0,03%;0,06%;0,10%;0,03%;0,02%;0,17%;0,10%;0,07%;0,14%;0,06%;0,02%;0,02%;0,04%;0,03%;0,02%;0,03%;0,02%;0,02%;0,17%;0,06%;0,06%;0,01%;0,01%;0,04%;0,02%;0,02%;0,03%;0,18%;0,03%;0,08%;0,06%;0,02%;0,01%;0,02%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,02%;0,01%;0,01%;0,02%;0,01%;0,01%;0,01%;0,01%;0,03%;0,01%;0,03%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,08%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Consumer Goods;;-0,200492005;0,250769231;-0,200492005;0;0;0;0,250769231;0,399753998;-0,428822496;-0,249230769;0,331967213;0;0,5;0;0,667692308;0;0,099630996;0;0,091163311;0,499743721;0,111073137;-0,150107659;0,235613464;-0,095489162;0,158031088;0;-0,045302013;-0,142940832;0,502050581;-0,038452787;0,07998107;0,07427695;0,068937385;0,032245755;0,031238447;0,212045169;-0,124963029;0,085685314;-0,157845579;0,124953789;0,166611896;0,024366197;0,214354462;0,039175725;-0,07539769;0,061159557;0,096168795;0,052679566;-0,116735637;0,13216387;-0,083341353;0,090918635;-0,116735637;0,056657224;0;-0,145493916;-0,042476167;0,022180214;-0,043521144;0,113689095;-0,061226852;0,065220072;-0,102083333;-0,068187677;0,07317748;0,023330755;-0,090943444;0,12498268;-0,022170218;0,113616324;-0,102024658;0,090817483;0,333371824;-0,140642591;0,109140381;0,131110303;-0,028998313;0;-0,030277962;0,062531991;-0,044158972;0,015371693;0,015221707;-0,044817471;-0,218734004;-0,060056781;0;0,063894052;0,100021839;-0,254615843;-0,049940072;-0,157835716;0,031125166;-0,030185634;0,093708389;0,14274844;0,12504994;-0,08889678;-0,243861245;0,451546392;-0,066642992;0,023842739;0,046451133;-0,044389205;0,046451133;0,022253788;0;0,521769338;0,07137422;0,026704545;0,013004981;-0,012838022;-0,090896514;-0,100060874;-0,444406866;0,428549688;0,199957388;0,033380682;0,096735395;0,176484412;0;0;-0,250016646;0;0,166725852;0,142824532;0;0;0;0;-0,074971703;0,216152019;0,055575284;0,052649285;0;0,009960584;0,100047466;0;0;0;0;0;0,009061271;0,135126146;0;0,080030137;0,0370112;0;0;-0,271432843;0,666683765;0,264711314;-0,041856277;-0,029131638;-0,075001308;0,189202183
